15,16,6,13
11,15,5,7
52,13,11,45
73,10,8,24
36,17,13,37
71,19,14,36
89,32,24,24
15,24,18,7
51,19,5,51
10,24,20,17
47,7,4,39
98,36,27,85
53,7,6,64
77,35,29,37
21,9,8,17
79,13,10,54
41,44,22,44
7,9,7,22
22,39,32,38
17,28,17,46
92,25,17,8
73,50,32,19
31,29,21,35
23,19,10,24
2,39,34,13
99,46,29,94
83,37,20,33
31,46,22,24
8,42,36,1
23,25,24,44
43,20,11,40
47,18,17,96
26,16,12,27
68,31,20,84
57,11,3,72
73,5,3,92
59,10,7,40
75,49,35,16
74,42,31,22
63,47,36,97
82,10,4,31
27,42,31,59
78,47,25,37
3,33,15,3
68,47,29,79
2,4,3,10
21,34,31,68
3,27,19,72
25,9,6,9
41,41,28,75
